D,M,sigma_ku,sigma_ka,sigma_w
0,0.00028,8.80032e-10,1.195651e-15,5.6038419999999994e-14,2.693118e-12
1,0.00012,1.760064e-10,2.3849070000000003e-17,1.120027e-15,5.457767e-14
2,0.00021888540000000002,5.280192e-10,2.457152e-16,1.1534520000000001e-14,5.603546999999999e-13
3,0.00012,1.760064e-10,3.309699e-17,1.5544499999999998e-15,7.579e-14
4,0.0001531371,1.760064e-10,3.309699e-17,1.5544499999999998e-15,7.579e-14
5,0.0001531371,1.760064e-10,3.309699e-17,1.5544499999999998e-15,7.579e-14
6,0.00028,6.453568e-10,3.692586e-16,1.726287e-14,8.148291999999999e-13
7,0.00039777089999999996,1.701395e-09,3.60391e-15,1.693351e-13,8.27944e-12
8,0.00021888540000000002,5.280192e-10,3.8998960000000003e-16,1.832487e-14,8.963825999999999e-13
9,0.00023595919999999998,7.626944e-10,6.466004e-16,3.0296300000000004e-14,1.452608e-12
10,0.0007655342999999999,5.632205e-09,4.355071e-14,2.046868e-12,1.001821e-10
11,0.00041523330000000003,1.3493820000000002e-09,1.6215429999999998e-15,7.555564000000001e-14,3.482961e-12
12,0.000666099,4.4588290000000005e-09,2.180546e-14,1.0154299999999998e-12,4.660707e-11
13,0.0007838044000000001,6.86425e-09,3.711178e-14,1.7065470000000001e-12,7.1743e-11
14,0.0005390847,3.989478e-09,2.144016e-14,9.970284e-13,4.534187e-11
15,0.0007449917,7.509606e-09,7.77919e-14,3.5938339999999997e-12,1.558346e-10
16,0.0004064758,2.522758e-09,7.601831e-15,3.558327e-13,1.694213e-11
17,0.0007947092999999999,5.8668799999999995e-09,4.909642e-14,2.285426e-12,1.045738e-10
18,0.0004228571,2.170746e-09,8.03977e-15,3.7652179999999997e-13,1.799652e-11
19,0.0007644308,7.216262e-09,3.902503e-14,1.8002580000000001e-12,7.731255e-11
20,0.0009344272,8.389638e-09,9.741951e-14,4.5716529999999995e-12,2.211262e-10
21,0.001125173,1.120574e-08,1.3016860000000001e-13,5.959565e-12,2.427125e-10
22,0.001022579,1.114707e-08,1.389786e-13,6.444024e-12,2.861811e-10
23,0.001104331,1.038438e-08,1.5641600000000002e-13,7.30504e-12,3.41363e-10
24,0.00115307,1.484321e-08,2.818975e-13,1.276967e-11,4.846344e-10
25,0.001065612,1.032571e-08,1.766716e-13,8.186008e-12,3.621536e-10
26,0.0008664208000000001,9.093664e-09,6.770647e-14,3.098031e-12,1.254919e-10
27,0.001086119,1.0853729999999999e-08,1.434129e-13,6.529312e-12,2.551723e-10
28,0.0009272429,8.154963e-09,5.6107770000000004e-14,2.505833e-12,8.535759000000001e-11
29,0.001120167,9.739021e-09,1.566825e-13,7.240284e-12,3.143686e-10
30,0.0013359210000000001,2.1707459999999998e-08,6.333639e-13,2.868265e-11,1.082639e-09
31,0.001224567,2.1179440000000002e-08,4.803511e-13,2.180891e-11,8.315675e-10
32,0.001501285,2.1883460000000003e-08,3.4287049999999997e-13,1.4347029999999999e-11,3.099129e-10
33,0.001589546,2.499291e-08,6.979166e-13,3.18361e-11,1.2534260000000003e-09
34,0.00137679,1.214444e-08,1.862864e-13,8.675050999999999e-12,3.968876e-10
35,0.001444564,1.672061e-08,3.03648e-13,1.3666179999999998e-11,4.874221e-10
36,0.001285151,1.325915e-08,1.7517550000000002e-13,7.845226e-12,2.727617e-10
37,0.001363012,1.390451e-08,2.7848509999999996e-13,1.260669e-11,4.710463e-10
38,0.0015985139999999999,1.924337e-08,4.447648e-13,2.010129e-11,7.478114e-10
39,0.0015589470000000002,1.5547229999999997e-08,3.557045e-13,1.6549920000000003e-11,7.509977e-10
